date,region,cases
2020-02-28,01 - Bas-Saint-Laurent,0
2020-02-28,02 - Saguenay–Lac-Saint-Jean,0
2020-02-28,03 - Capitale Nationale,0
2020-02-28,04 - Mauricie - Centre du Québec,0
2020-02-28,05 - Estrie,0
2020-02-28,06 - Montréal,1
2020-02-28,07 - Outaouais,0
2020-02-28,08 - Abitibi-Temiscamingue,0
2020-02-28,09 - Côte-Nord,0
2020-02-28,10 - Nord-du-Québec,0
2020-02-28,11 - Gaspésie-Îles-de-la-Madeleine,0
2020-02-28,12 - Chaudière-Appalaches,0
2020-02-28,13 - Laval,0
2020-02-28,14 - Lanaudière,0
2020-02-28,15 - Laurentides,0
2020-02-28,16 - Montérégie,0
2020-02-28,17 - Nunavik,0
2020-02-28,18 - Terres-Cries-de-la-Baie-James,0
2020-03-05,01 - Bas-Saint-Laurent,0
2020-03-05,02 - Saguenay–Lac-Saint-Jean,0
2020-03-05,03 - Capitale Nationale,0
2020-03-05,04 - Mauricie - Centre du Québec,0
2020-03-05,05 - Estrie,0
2020-03-05,06 - Montréal,0
2020-03-05,07 - Outaouais,0
2020-03-05,08 - Abitibi-Temiscamingue,0
2020-03-05,09 - Côte-Nord,0
2020-03-05,10 - Nord-du-Québec,0
2020-03-05,11 - Gaspésie-Îles-de-la-Madeleine,0
2020-03-05,12 - Chaudière-Appalaches,0
2020-03-05,13 - Laval,0
2020-03-05,14 - Lanaudière,0
2020-03-05,15 - Laurentides,1
2020-03-05,16 - Montérégie,0
2020-03-05,17 - Nunavik,0
2020-03-05,18 - Terres-Cries-de-la-Baie-James,0
2020-03-06,01 - Bas-Saint-Laurent,0
2020-03-06,02 - Saguenay–Lac-Saint-Jean,0
2020-03-06,03 - Capitale Nationale,0
2020-03-06,04 - Mauricie - Centre du Québec,0
2020-03-06,05 - Estrie,0
2020-03-06,06 - Montréal,0
2020-03-06,07 - Outaouais,0
2020-03-06,08 - Abitibi-Temiscamingue,0
2020-03-06,09 - Côte-Nord,0
2020-03-06,10 - Nord-du-Québec,0
2020-03-06,11 - Gaspésie-Îles-de-la-Madeleine,0
2020-03-06,12 - Chaudière-Appalaches,0
2020-03-06,13 - Laval,0
2020-03-06,14 - Lanaudière,0
2020-03-06,15 - Laurentides,0
2020-03-06,16 - Montérégie,1
2020-03-06,17 - Nunavik,0
2020-03-06,18 - Terres-Cries-de-la-Baie-James,0
2020-03-07,01 - Bas-Saint-Laurent,0
2020-03-07,02 - Saguenay–Lac-Saint-Jean,0
2020-03-07,03 - Capitale Nationale,0
2020-03-07,04 - Mauricie - Centre du Québec,0
2020-03-07,05 - Estrie,0
2020-03-07,06 - Montréal,0
2020-03-07,07 - Outaouais,0
2020-03-07,08 - Abitibi-Temiscamingue,0
2020-03-07,09 - Côte-Nord,0
2020-03-07,10 - Nord-du-Québec,0
2020-03-07,11 - Gaspésie-Îles-de-la-Madeleine,0
2020-03-07,12 - Chaudière-Appalaches,0
2020-03-07,13 - Laval,0
2020-03-07,14 - Lanaudière,0
2020-03-07,15 - Laurentides,0
2020-03-07,16 - Montérégie,0
2020-03-07,17 - Nunavik,0
2020-03-07,18 - Terres-Cries-de-la-Baie-James,0
